Pollutant Name: nitrogen (N),,
Pollutant Type: total deposition,,
Units: kg N ha-1 yr-1,,
Year: 2014,,
Resolution: 5km (Midpoint in metres of 5x5km grid square of the OS grid for Great Britain),,
,,
Easting,Northing,Value
142500,877500,3.89
502500,457500,16.32
272500,887500,4.92
302500,522500,9.24
427500,162500,15.74
507500,137500,13.21
127500,472500,12.58
232500,327500,6.95
332500,262500,15
422500,362500,27.17
32500,517500,6.92
517500,337500,8.97
312500,702500,10.83
282500,727500,14.34
252500,857500,4.85
212500,557500,13.02
302500,737500,12.17
322500,207500,22.23
197500,887500,5.16
332500,537500,19.8
357500,1037500,8.11
32500,562500,10.98
257500,247500,13.47
207500,897500,4.57
612500,292500,14.24
367500,1022500,7.57
387500,77500,9.31
242500,712500,19.9
147500,492500,18.31
357500,442500,15.8
462500,472500,15.32
352500,687500,7.2
387500,787500,13.84
142500,742500,7.55
337500,107500,14.33
617500,252500,12.18
377500,292500,11.8
217500,827500,8.34
302500,222500,23.39
352500,677500,5.52
432500,587500,9.74
277500,317500,21.05
597500,212500,8
307500,92500,10.78
112500,572500,10.88
622500,272500,17.7
392500,387500,15.53
317500,632500,19.91
252500,562500,15.7
322500,692500,10.97
372500,337500,17.27
232500,222500,15.3
177500,647500,12.67
327500,932500,4.53
142500,492500,21.25
527500,267500,8.52
87500,537500,11.88
407500,447500,24.46
322500,932500,4.76
272500,732500,16.36
337500,482500,11.76
277500,867500,3.75
252500,217500,15.64
392500,142500,14.62
427500,322500,13.2
312500,292500,14.34
322500,737500,7.25
432500,562500,11.74
197500,762500,10.61
567500,112500,10.46
252500,602500,24.43
152500,542500,10.94
252500,742500,19.34
452500,1207500,8.09
182500,42500,10.91
367500,282500,15.13
577500,342500,8.6
337500,167500,9.54
252500,707500,16.42
262500,547500,10.55
407500,247500,10.16
397500,427500,29.89
287500,197500,19.16
322500,317500,13.6
237500,127500,10.3
297500,677500,11.43
392500,327500,14.74
142500,757500,8.29
457500,362500,18.45
402500,137500,13.06
402500,202500,12.35
572500,127500,12.19
587500,192500,9.35
467500,372500,19.69
407500,152500,9.76
282500,352500,21.33
367500,622500,11.72
277500,917500,6.06
347500,647500,14.69
347500,397500,11.59
302500,167500,7.19
547500,317500,8.76
117500,582500,9.91
342500,592500,20.53
192500,777500,11.09
282500,957500,6.18
387500,642500,6.85
427500,82500,8.83
397500,387500,17.96
322500,137500,9.4
302500,622500,21.81
297500,267500,19.55
427500,157500,13.06
157500,827500,8.88
582500,147500,8.48
407500,647500,8.82
132500,677500,7.53
397500,227500,13.52
477500,402500,10.52
217500,467500,7.08
332500,547500,12.01
352500,782500,24.34
307500,357500,17.29
202500,557500,12.47
497500,122500,14.59
52500,572500,6.5
427500,87500,9.55
92500,17500,5.26
287500,622500,18.35
272500,617500,21.7
347500,597500,21.44
267500,877500,5.23
407500,232500,14.84
387500,537500,20.86
247500,667500,12.49
372500,597500,24.88
407500,607500,15.42
522500,452500,13.07
277500,817500,7
292500,632500,16.7
152500,527500,10.99
157500,757500,9.09
372500,557500,19.54
497500,237500,12.05
207500,562500,14.58
442500,107500,15.75
487500,332500,13.38
432500,192500,10.17
287500,917500,6.71
297500,967500,6.17
427500,382500,28.43
547500,217500,9.52
157500,797500,4.76
227500,222500,14.76
557500,272500,9.25
427500,147500,11.72
432500,237500,11.4
177500,692500,10.33
507500,297500,10.17
422500,467500,25.07
522500,342500,8.74
337500,667500,7.44
397500,97500,13.9
387500,622500,21.58
